Food,Nutrition Value (per 100g),Quantity,Originated From,Calories,Protein (g),Fiber (g),Vitamin C (mg),Antioxidant Score,location,OFF Code,OFF Product Name,OFF Generic Name,OFF Category,OFF Brand,OFF Nutri-Score Grade,OFF Nutri-Score,OFF NOVA Group,OFF Fat (g),OFF Carbohydrates (g),OFF Sugar (g),OFF Salt (g),OFF Saturated Fat (g),OFF Image URL,OFF Match Score,OFF Match Method
Kidney Beans,High in Molybdenum,"1 cup, cooked",Central America,225,15.3,11.3,4.1,8606,"[-30.29284845, 153.12561585745573]",0197870185965,Kidney beans,,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Canned foods,Legumes,Canned plant-based foods,Canned legumes,Canned common beans",HEB,a,-3,3,0,13.8461538461538,0.769230769230769,0.182692307692308,0,https://images.openfoodfacts.org/images/products/019/787/018/5965/front_en.8.400.jpg,117,local-name-to-openfoodfacts-bulk
Lemons,High in Vitamin C,1 medium,Southeast Asia,17,0.6,1.6,30.7,1225,"[-8.7287308, 115.2365646]",10057193,Lemon,Lemon,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Citrus,Lemons",Tesco,a,-5,1,0.25,1.56,0.8,0.0063,0.005,https://images.openfoodfacts.org/images/products/000/001/005/7193/front_en.5.400.jpg,146,local-name-to-openfoodfacts-bulk
Arugula,Good Source of Nitrates,2 cups,Mediterranean Region,10,1.2,0.8,5.4,1904,"[37.208647299999996, 30.692069903552955]",0041190057320,arugula,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods",WHOLESOME PANTRY,a,-1,1,0.7,3.52,2.11,0.07,0,,142,local-name-to-openfoodfacts-bulk
Onions,Contains Quercetin,"1 cup, chopped",Central Asia,64,1.8,2.9,11.8,913,"[39.4009215, 72.8676621]",0059749900157,Onions,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Condiments,Vegetables based foods,Culinary plants,Onions and their products,Onions,Yellow onions",,a,-4,1,0.62,6.25,4.8,0.098,0.2,https://images.openfoodfacts.org/images/products/005/974/990/0157/front_en.8.400.jpg,131,local-name-to-openfoodfacts-bulk
Zucchini,"Low in Calories, High in Vitamin C","1 cup, sliced",Central America,19,1.4,1.1,22.2,180,"[-30.29284845, 153.12561585745573]",4005817079610,Zucchini,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Fresh foods,Fresh plant-based foods,Fresh vegetables,Zucchini,Fresh zucchini",,a,-5,1,0.26,1.8,1.79,0.023,0.061,https://images.openfoodfacts.org/images/products/400/581/707/9610/front_en.12.400.jpg,146,local-name-to-openfoodfacts-bulk
Mackerel,Rich in Omega-3 Fatty Acids,"3 oz, cooked",Worldwide,231,20.8,0.0,0.0,393,"[53.45733965, -2.226958805052226]",9310768114446,Mackerel,,"Seafood,Fishes and their products,Fish preparations,Fish (shelf stable)",Safcol,a,-2,,7.41176470588235,3.64705882352941,0.588235294117647,0.458823529411765,2,https://images.openfoodfacts.org/images/products/931/076/811/4446/front_en.3.400.jpg,129,local-name-to-openfoodfacts-bulk
Acai Berries,High in Anthocyanins,"100g, pulp",South America,70,1.0,2.0,0.0,15405,"[-21.0002179, -61.0006565]",00236494,Acai Berry,,,,unknown,,,0,90,0.7,,0,https://images.openfoodfacts.org/images/products/000/000/023/6494/front_fr.3.400.jpg,121,local-name-to-openfoodfacts-bulk
Cucumber,"Low in Calories, High in Water Content","1 cup, sliced",India,16,0.7,0.5,2.9,140,"[22.3511148, 78.6677428]",5000128271165,Cucumber,cucumber,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetable-based foods and beverages,Vegetables based foods,Fresh foods,Vegetables,Cucumbers,Fresh plant-based foods,Fresh vegetables,Fresh cucumbers","The co-operative,The co-operative loved by us",a,-5,1,0.11,2.54,1.67,0.012,0.035,https://images.openfoodfacts.org/images/products/500/012/827/1165/front_en.18.400.jpg,146,local-name-to-openfoodfacts-bulk
Peanuts,Good Source of Biotin,1 oz,South America,161,7.3,2.4,0.0,1393,"[-21.0002179, -61.0006565]",5019180063038,Peanut,,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Nuts and their products,Nuts,Roasted nuts,Peanuts,Peanut grilled salted",One Stop,b,2,,52,8.9,4.5,0.7,7.4,https://images.openfoodfacts.org/images/products/501/918/006/3038/front_en.3.400.jpg,128,local-name-to-openfoodfacts-bulk
Eggplant,"Low in Calories, High in Fiber","1 cup, cubed",India,20,0.8,2.5,1.8,980,"[22.3511148, 78.6677428]",5285001400065,Eggplant Dip,,"Plant-based foods and beverages,Plant-based foods,Spreads,Plant-based spreads,Salted spreads,Baba ghanoush",CHTOURA GARDEN,a,0,1,6,11,3.8,1.2,0.8,https://images.openfoodfacts.org/images/products/528/500/140/0065/front_en.18.400.jpg,127,local-name-to-openfoodfacts-bulk
Parsley,High in Vitamin K,"1/4 cup, chopped",Mediterranean Region,4,0.3,0.4,13.3,1301,"[37.208647299999996, 30.692069903552955]",20392864,Parsley,Parsley,"Plant-based foods and beverages,Plant-based foods,Condiments,Culinary plants,Aromatic plants,Herbs,Groceries",Oklands,a,-6,1,0.63,3.48,0.95,0.59,0.1,https://images.openfoodfacts.org/images/products/000/002/039/2864/front_en.15.400.jpg,146,local-name-to-openfoodfacts-bulk
Cayenne Pepper,Contains Capsaicin,"1 tsp, ground",South America,6,0.3,0.6,1.6,50314,"[-21.0002179, -61.0006565]",01535815,Cayenne pepper,Cayenne pepper,"Plant-based foods and beverages,Plant-based foods,Condiments,Spices,Peppers,Chili peppers,Capsicum frutescens,Cayenne peppers,Groceries","by sainsbury's,Sainsbury's",not-applicable,,1,17.3,29.4,10.3,0.075,3.26,https://images.openfoodfacts.org/images/products/000/000/153/5815/front_en.8.400.jpg,134,local-name-to-openfoodfacts-bulk
Watermelon,High in Lycopene,"1 cup, diced",Africa,46,0.9,0.6,12.3,182,"[11.5024338, 17.7578122]",00469494,Watermelon,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Melons,Watermelons",Sainsbury's,a,-4,1,0.5,6.8,6.8,0.01,0.1,https://images.openfoodfacts.org/images/products/000/000/046/9494/front_en.7.400.jpg,142,local-name-to-openfoodfacts-bulk
Radishes,"Low in Calories, High in Vitamin C","1 cup, sliced",Southeast Asia,19,0.8,1.9,17.2,387,"[-8.7287308, 115.2365646]",0853310004486,Radishes,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Radishes",Circle produce co,a,-5,1,0.25,1.53,1.1,0.04,0.005,https://images.openfoodfacts.org/images/products/085/331/000/4486/front_en.3.400.jpg,127,local-name-to-openfoodfacts-bulk
Bok Choy,High in Vitamin A and C,"1 cup, shredded",China,9,1.1,1.0,45.2,1511,"[35.0000663, 104.999955]",2000000125289,Bok Choy,Bok Choy (Chinese Cabbage),"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Leaf vegetables,Cabbages,Chinese cabbage","USDA,Houston Food Bank",a,-5,1,,,,,,,118,local-name-to-openfoodfacts-bulk
Tuna,High in Protein and Omega-3,"3 oz, canned in water",Worldwide,99,22.0,0.0,0.0,415,"[53.45733965, -2.226958805052226]",0859480006077,Tuna,,"Seafood,Fishes and their products,Canned foods,Fishes,Fatty fishes,Specific products,Canned fishes,Products for specific diets,Tunas,Canned tunas,Products without gluten,Tropical tunas,Skipjack tuna,Tuna-in-water",Safe Catch,a,-3,1,0,0,0,0.617647058823529,,https://images.openfoodfacts.org/images/products/085/948/000/6077/front_en.44.400.jpg,139,local-name-to-openfoodfacts-bulk
Crimini Mushrooms,Good Source of Selenium,"1 cup, sliced",Europe/North America,19,2.9,0.7,2.1,885,"[43.7289157, -73.8100572]",0070475656910,Crimini mushroom,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods",,a,-1,,,,,,,,112,local-name-to-openfoodfacts-bulk
Cranberries,High in Proanthocyanidins,"1 cup, whole",North America,46,0.4,3.6,13.3,9584,"[51.0000002, -109.0]",3000025033349,Cranberry,Cranberry,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Berries",Fruits Rouges & Co.,a,-6,1,0.13,7.6,4.04,0.065,0,https://images.openfoodfacts.org/images/products/300/002/503/3349/front_fr.5.400.jpg,146,local-name-to-openfoodfacts-bulk
Tahini,Good Source of Calcium,1 tbsp,Middle East,89,2.6,1.4,0.0,276,"[39.3014159, -76.5888477]",0066844600158,Tahini,,,,unknown,,,44.736842105263,0,0,0.16447368421053,7.8947368421053,https://images.openfoodfacts.org/images/products/006/684/460/0158/front_fr.3.400.jpg,124,local-name-to-openfoodfacts-bulk
Cinnamon,May Help Lower Blood Sugar,"1 tsp, ground",Sri Lanka,6,0.1,1.4,0.1,131420,"[7.5554942, 80.7137847]",5410531546635,Cinnamon,Ground Cinnamon,"Plant-based foods and beverages,Plant-based foods,Condiments,Spices,Cinnamon,Cinnamon powder,Groceries",Funky Soul Spices,not-applicable,,1,0,0,0,0,0,https://images.openfoodfacts.org/images/products/541/053/154/6635/front_en.28.400.jpg,130,local-name-to-openfoodfacts-bulk
Miso,Rich in Probiotics,1 tbsp,Japan,34,2.2,0.8,0.1,1125,"[36.5748441, 139.2394179]",0837894000409,Miso,,,,unknown,,,10,20,10,9.9,2,https://images.openfoodfacts.org/images/products/083/789/400/0409/front_fr.3.400.jpg,124,local-name-to-openfoodfacts-bulk
Mustard Greens,High in Vitamin K,"1 cup, chopped",India,15,1.6,1.8,39.3,3024,"[22.3511148, 78.6677428]",0607880034707,Mustard Green,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Canned vegetables",Southern Home,a,0,1,,,,,,,118,local-name-to-openfoodfacts-bulk
Celery,"Low in Calories, High in Vitamin K","1 cup, chopped",Mediterranean Region,16,0.7,1.6,3.1,670,"[37.208647299999996, 30.692069903552955]",0033383653259,Celery,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Condiments,Vegetables based foods,Culinary plants,Vegetables,Fresh foods,Vegetable rods,Fresh plant-based foods,Fresh vegetables,Celery,Celery stalk,Aliments-a-base-de-fruits-et-de-legumes,Aliments-a-base-de-plantes-frais,Aliments-d-origine-vegetale,Aliments-et-boissons-a-base-de-vegetaux,Groceries,Legumes-et-derives,Legumes-frais",Foxy,a,-7,1,0.25,3.98,1.6,0.085,0.005,https://images.openfoodfacts.org/images/products/003/338/365/3259/front_en.15.400.jpg,142,local-name-to-openfoodfacts-bulk
Endive,"Low in Calories, High in Vitamin K","1 cup, chopped",Mediterranean Region,8,0.5,1.6,2.1,1052,"[37.208647299999996, 30.692069903552955]",3347762001911,Endive,Endive,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Fresh foods,Fresh plant-based foods,Leaf vegetables,Fresh vegetables,Belgian endives,Fresh Belgian endives",Les Nouveaux Producteurs De nos régions,a,-5,1,0.2,2.4,1.7,0.006,0.05,https://images.openfoodfacts.org/images/products/334/776/200/1911/front_fr.18.400.jpg,146,local-name-to-openfoodfacts-bulk
Kohlrabi,Good Source of Vitamin C,"1 cup, sliced",Northern Europe,36,2.3,4.9,83.7,944,"[53.862757099999996, 27.537137224037828]",24855488,Kohlrabi,Kohlrabi in Streifen,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Vegetables,Canned vegetables,Leaf vegetables,Cabbages,Kohlrabi","Omi's, Stollenwerk",a,-2,3,0.5,2,1.7,0.68,0.1,https://images.openfoodfacts.org/images/products/000/002/485/5488/front_de.6.400.jpg,129,local-name-to-openfoodfacts-bulk
Natto,High in Vitamin K2,1/4 cup,Japan,100,8.4,2.8,13.0,6680,"[36.5748441, 139.2394179]",4970457000495,Natto,,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Frozen foods,Frozen plant-based foods,Frozen legumes",,b,1,,8.1,3.1,1.1,1.0825,1.3,https://images.openfoodfacts.org/images/products/497/045/700/0495/front_fr.21.400.jpg,129,local-name-to-openfoodfacts-bulk
Sauerkraut,Rich in Probiotics,1/2 cup,China,13,0.7,2.9,14.7,705,"[35.0000663, 104.999955]",5907556420052,Sauerkraut,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Fermented vegetables,Sauerkrauts",,b,1,1,0,1.8999999761581,1.1000000238419,1.2999999523163,0,https://images.openfoodfacts.org/images/products/590/755/642/0052/front_en.3.400.jpg,142,local-name-to-openfoodfacts-bulk
Tempeh,High in Protein and Probiotics,3 oz,Indonesia,162,17.0,3.5,0.0,1800,"[-2.4833826, 117.8902853]",9339687167128,TEMPEH,tempeh,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Meat alternatives,Meat analogues,Tempeh",macro WHOLEFOODS MARKET,a,-10,1,5,8.6,0.5,0.0125,0.9,https://images.openfoodfacts.org/images/products/933/968/716/7128/front_en.3.400.jpg,146,local-name-to-openfoodfacts-bulk
Swiss Chard,High in Vitamins A and K,"1 cup, chopped",Mediterranean Region,7,0.6,0.6,10.8,1770,"[37.208647299999996, 30.692069903552955]",29096077,Swiss chard,,,M&s,unknown,,,0.2,2.9,0.6,0.53,0.1,,105,local-name-to-openfoodfacts-bulk
Nutritional Yeast,Good Source of B Vitamins,1 tbsp,Worldwide,20,3.0,1.0,0.0,790,"[53.45733965, -2.226958805052226]",00588713,Nutritional Yeast,,"Condiments,Nutritional yeast",Trader Joe's,a,-5,1,0,40,0,0.5,0,https://images.openfoodfacts.org/images/products/000/000/058/8713/front_en.40.400.jpg,142,local-name-to-openfoodfacts-bulk
Pomelo,High in Vitamin C,"1 cup, sections",Southeast Asia,72,1.4,2.4,115.3,1548,"[-8.7287308, 115.2365646]",3605260072346,Pomelo,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Citrus,Grapefruits",,a,-4,1,0.25,8.02,6.6,0.0063,0.005,https://images.openfoodfacts.org/images/products/360/526/007/2346/front_fr.3.400.jpg,146,local-name-to-openfoodfacts-bulk
Radicchio,"Low in Calories, High in Vitamin K","1 cup, shredded",Italy,9,0.6,0.4,2.6,1016,"[42.6384261, 12.674297]",8029513308283,Radicchio rosso,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Leaf vegetables,Leaf salads",Buongiorno freschezza,a,-5,1,0,1.6,1.6,0.03,0,https://images.openfoodfacts.org/images/products/802/951/330/8283/front_it.18.400.jpg,127,local-name-to-openfoodfacts-bulk
Jicama,Good Source of Vitamin C,"1 cup, sliced",Mexico,46,0.9,6.4,20.2,406,"[19.4326296, -99.1331785]",2000000126258,Jicama,Jicama,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fresh plant-based foods,Fresh-jicama,Fresh-yambean","USDA,Houston Food bank",a,-2,,,,,,,https://images.openfoodfacts.org/images/products/200/000/012/6258/front_en.5.400.jpg,112,local-name-to-openfoodfacts-bulk
Wakame Seaweed,High in Fucoxanthin,"1 cup, raw",Japan,5,0.3,0.4,3.0,2115,"[36.5748441, 139.2394179]",2741941101507,Wakame seaweed,,,TOPVALU,unknown,,,0.4,3.1,1.4,,,https://images.openfoodfacts.org/images/products/274/194/110/1507/front_en.3.400.jpg,111,local-name-to-openfoodfacts-bulk
Dragon Fruit,Good Source of Antioxidants,"1 cup, cubed",Central/South America,136,2.9,7.0,9.0,2551,"[34.09198895, -117.55989250767249]",0853687004058,DRAGON FRUIT,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods",PITAYA FOODS,b,2,,0.357142857142857,14.2857142857143,11.4285714285714,0.00178571428571429,0,https://images.openfoodfacts.org/images/products/085/368/700/4058/front_en.34.400.jpg,128,local-name-to-openfoodfacts-bulk
